Line Number,Action,Status,ErrorCode,ErrorMessage,WarningCode,WarningMessage,Code,Message,ItemID,ReferenceID,ApplicationData,StartTime,EndTime,AuctionLengthFee,BoldFee,BorderFee,BuyItNowFee,CategoryFeaturedFee,CurrencyID,FeaturedFee,FeaturedGalleryFee,FixedPriceDurationFee,GalleryFee,GiftIconFee,HighlightFee,InsertionFee,InternationalInsertionFee,ListingDesignerFee,ListingFee,PhotoDisplayFee,PhotoFee,ProPackBundleFee,ReserveFee,SchedulingFee,SubtitleFee,CustomLabel,PrivateNotes,BasicUpgradePackBundleFee,ValuePackBundleFee,ProPackPlusBundleFee,SellerInventoryID,CrossBorderTradeNorthAmericaFee,CrossBorderTradeGBFee,RefundFromSeller,TotalRefundToBuyer,CorrelationID
760,Revise,Warning,,,21919456,"Warning - Seller has opted into business policies. Please use policy IDs rather than legacy fields for Shipping, Payments or Returns or new policies may be automatically created seller's behalf.|",,,306893073816,,,2026-04-20T22:21:01.000Z,2026-08-20T22:21:01.000Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
761,Revise,Warning,,,21919456,"Warning - Seller has opted into business policies. Please use policy IDs rather than legacy fields for Shipping, Payments or Returns or new policies may be automatically created seller's behalf.|",,,306893073779,,,2026-04-20T22:20:59.000Z,2026-08-20T22:20:59.000Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
762,Revise,Warning,,,21919456,"Warning - Seller has opted into business policies. Please use policy IDs rather than legacy fields for Shipping, Payments or Returns or new policies may be automatically created seller's behalf.|",,,306893073790,,,2026-04-20T22:20:59.000Z,2026-08-20T22:20:59.000Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
763,Revise,Warning,,,21919456,"Warning - Seller has opted into business policies. Please use policy IDs rather than legacy fields for Shipping, Payments or Returns or new policies may be automatically created seller's behalf.|",,,306893073760,,,2026-04-20T22:20:58.000Z,2026-08-20T22:20:58.000Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
764,Revise,Warning,,,21919456,"Warning - Seller has opted into business policies. Please use policy IDs rather than legacy fields for Shipping, Payments or Returns or new policies may be automatically created seller's behalf.|",,,306893073786,,,2026-04-20T22:20:59.000Z,2026-08-20T22:20:59.000Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
765,Revise,Warning,,,21919456,"Warning - Seller has opted into business policies. Please use policy IDs rather than legacy fields for Shipping, Payments or Returns or new policies may be automatically created seller's behalf.|",,,306893073784,,,2026-04-20T22:20:59.000Z,2026-08-20T22:20:59.000Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
766,Revise,Warning,,,21919456,"Warning - Seller has opted into business policies. Please use policy IDs rather than legacy fields for Shipping, Payments or Returns or new policies may be automatically created seller's behalf.|",,,306890951011,,,2026-04-19T21:11:41.000Z,2026-08-19T21:11:41.000Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
767,Revise,Warning,,,21919456,"Warning - Seller has opted into business policies. Please use policy IDs rather than legacy fields for Shipping, Payments or Returns or new policies may be automatically created seller's behalf.|",,,306893073757,,,2026-04-20T22:20:58.000Z,2026-08-20T22:20:58.000Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
768,Revise,Warning,,,21919456,"Warning - Seller has opted into business policies. Please use policy IDs rather than legacy fields for Shipping, Payments or Returns or new policies may be automatically created seller's behalf.|",,,306893073738,,,2026-04-20T22:20:57.000Z,2026-08-20T22:20:57.000Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
769,Revise,Warning,,,21919456,"Warning - Seller has opted into business policies. Please use policy IDs rather than legacy fields for Shipping, Payments or Returns or new policies may be automatically created seller's behalf.|",,,306890951012,,,2026-04-19T21:11:41.000Z,2026-08-19T21:11:41.000Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
